name,category,longitude,latitude,time
Home,"",151.192974246003,-33.8817104357964,2017-02-18T12:29:00.973Z
Home,"",151.192823095391,-33.8817450049062,2017-02-18T12:30:00.973Z
Home,"",151.192885012376,-33.8817708860068,2017-02-18T12:31:00.973Z
Home,"",151.19299975611,-33.881785297375,2017-02-18T12:32:00.973Z
Home,"",151.193012961934,-33.8815946485545,2017-02-18T12:33:00.973Z
Home,"",151.193018711659,-33.8818284529801,2017-02-18T12:34:00.973Z
Home,"",151.193081500242,-33.8816977705465,2017-02-18T12:35:00.973Z
Home,"",151.193098481616,-33.8817807733514,2017-02-18T12:36:00.973Z
Home,"",151.193067163136,-33.8818082667762,2017-02-18T12:37:00.973Z
Home,"",151.1930354949,-33.8818145601933,2017-02-18T12:38:00.973Z
Home,"",151.193109509108,-33.8818782788316,2017-02-18T12:39:00.973Z
Home,"",151.193118210273,-33.881760033918,2017-02-18T12:40:00.973Z
Home,"",151.193115416727,-33.8817316130066,2017-02-18T12:41:00.973Z
Home,"",151.192952112939,-33.8818410409265,2017-02-18T12:42:00.973Z
Home,"",151.19283757078,-33.881801259859,2017-02-18T12:43:00.973Z
Home,"",151.193032587939,-33.8818386761703,2017-02-18T12:44:00.973Z
Home,"",151.19297638454,-33.8815598061507,2017-02-18T12:45:00.973Z
Home,"",151.193101842008,-33.8817924387894,2017-02-18T12:46:00.973Z
Home,"",151.193093800742,-33.8817480074225,2017-02-18T12:47:00.973Z
Home,"",151.19302108653,-33.8817590899888,2017-02-18T12:48:00.973Z
Home,"",151.192909622753,-33.88173628267,2017-02-18T12:49:00.973Z
Home,"",151.192965187092,-33.8818019581584,2017-02-18T12:50:00.973Z
Home,"",151.192976797969,-33.8818788345542,2017-02-18T12:51:00.973Z
Home,"",151.193125607166,-33.8816550556425,2017-02-18T12:52:00.973Z
Home,"",151.193036337698,-33.8817487895419,2017-02-18T12:53:00.973Z
Home,"",151.193002156744,-33.8816941157564,2017-02-18T12:54:00.973Z
Home,"",151.193066241909,-33.8817873653278,2017-02-18T12:55:00.973Z
Home,"",151.192907286529,-33.8818903495024,2017-02-18T12:56:00.973Z
Home,"",151.193064871387,-33.8817451876964,2017-02-18T12:57:00.973Z
Home,"",151.192913741368,-33.8817741733201,2017-02-18T12:58:00.973Z
Home,"",151.193094951935,-33.8816479240532,2017-02-18T12:59:00.973Z
Home,"",151.192985835008,-33.8818105315922,2017-02-18T13:00:00.973Z
Home,"",151.192913411463,-33.8817853982106,2017-02-18T13:01:00.973Z
Home,"",151.192956362907,-33.8817397716158,2017-02-18T13:02:00.973Z
Home,"",151.192961953478,-33.8815442274902,2017-02-18T13:03:00.973Z
Home,"",151.192995597316,-33.881702462136,2017-02-18T13:04:00.973Z
Home,"",151.1929423751,-33.8818352600625,2017-02-18T13:05:00.973Z
Home,"",151.192883385694,-33.8818110431504,2017-02-18T13:06:00.973Z
Home,"",151.193018735264,-33.881744729161,2017-02-18T13:07:00.973Z
Home,"",151.19301076867,-33.8817176354892,2017-02-18T13:08:00.973Z
Home,"",151.19295896189,-33.8817424169293,2017-02-18T13:09:00.973Z
Home,"",151.193072639734,-33.8818155677544,2017-02-18T13:10:00.973Z
Home,"",151.193044521079,-33.8817062980611,2017-02-18T13:11:00.973Z
Home,"",151.192941943865,-33.8816332251138,2017-02-18T13:12:00.973Z
Home,"",151.193123718893,-33.8817732284713,2017-02-18T13:13:00.973Z
Home,"",151.193223112616,-33.881832309873,2017-02-18T13:14:00.973Z
Home,"",151.192994388897,-33.8818729766633,2017-02-18T13:15:00.973Z
Home,"",151.193069461734,-33.8815909363713,2017-02-18T13:16:00.973Z
Home,"",151.192947941414,-33.88183451484,2017-02-18T13:17:00.973Z
Home,"",151.193014032826,-33.881786994487,2017-02-18T13:18:00.973Z
Home,"",151.193086998807,-33.8817292230196,2017-02-18T13:19:00.973Z
Home,"",151.193179961937,-33.8817994978463,2017-02-18T13:20:00.973Z
Home,"",151.193014246556,-33.881828401297,2017-02-18T13:21:00.973Z
Home,"",151.193080056579,-33.8818278236403,2017-02-18T13:22:00.973Z
Home,"",151.192964398925,-33.8818586209293,2017-02-18T13:23:00.973Z
Home,"",151.192959200965,-33.8817217530087,2017-02-18T13:24:00.973Z
Home,"",151.193126989656,-33.8817162228869,2017-02-18T13:25:00.973Z
Home,"",151.193068960052,-33.8816912605786,2017-02-18T13:26:00.973Z
